RelationshipType,StartNode.NodeID,EndNode.NodeID,RelationshipStatus,RelationshipPeriods.RelationshipPeriod.1.PeriodType,RelationshipPeriods.RelationshipPeriod.1.StartDate,RelationshipPeriods.RelationshipPeriod.1.EndDate,RelationshipQualifiers.AccountingStandard,Registration.RegistrationStatus
IS_DIRECTLY_CONSOLIDATED_BY,JPD8R8HBCG8SG60JAOBO,4I7T40V2ASHJDCL6KAZ1,ACTIVE,RELATIONSHIP_PERIOD,2021-01-01T00:00:00Z,2026-01-01T00:00:00Z,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,YJWSOYH5KHOGSWEVHXFC,9Q6TO1KRF7YINZDOZL9E,ACTIVE,RELATIONSHIP_PERIOD,2022-02-02T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,L17VL1JTSWGR5XQEAJJU,4UZYKDX1MRGGEXVBPSK8,ACTIVE,RELATIONSHIP_PERIOD,2023-03-03T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,Y24EH1RJFUILYWU5140V,ENATM9MCPRFC4CDUFTAW,ACTIVE,RELATIONSHIP_PERIOD,2024-04-04T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,PY09588588OYF07OFPXA,Z6MUZWIGV06G6JBY4CSK,ACTIVE,RELATIONSHIP_PERIOD,2021-05-05T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,BX94IHDWXIS3J90PNODI,3FFONJK677V2IVSX1CYP,ACTIVE,RELATIONSHIP_PERIOD,2022-06-06T00:00:00Z,2027-06-06T00:00:00Z,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,JYB1XDGE4KBJXJFPEA0J,EJ5GAJT9F5G3UKSKERXW,ACTIVE,RELATIONSHIP_PERIOD,2023-07-07T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,4I7T40V2ASHJDCL6KAZ1,EL3Q4Q2IH5CXSZ0I2X6U,ACTIVE,RELATIONSHIP_PERIOD,2024-08-08T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,9Q6TO1KRF7YINZDOZL9E,F062QCDP9AJGSYKZEOY3,ACTIVE,RELATIONSHIP_PERIOD,2021-09-09T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,4UZYKDX1MRGGEXVBPSK8,W3383GFLGZ1MZVEUV5N4,ACTIVE,RELATIONSHIP_PERIOD,2022-10-10T00:00:00Z,,IFRS,PUBLISHED
